title,author,isbn,call_number,call_prefix,subjects,summary,series,reading_level
101 ways to bug your friends and enemies,"Wardlaw, Lee 1955-",0803732627,F War,FIC,Interpersonal relations -- Fiction. | Bullies -- Fiction. | Middle schools -- Fiction. | High schools -- Fiction | School stories | Inventions -- Fiction. | Family life -- Fiction. -- California,"Steve ""Sneeze"" Wyatt takes half of his classes at the high school, where he attracts the attention of a bully on the varsity golf team, while at middle school all of his friends seem to be falling in love--including Sneeze, himself.",,5.8.
The Scorpio Races,"Stiefvater, Maggie 1981-",9780545224901,F Sti,FIC,Racing -- Fiction. | Orphans -- Fiction. | Horses -- Fiction. | Love stories | Fantasy fiction,"Nineteen-year-old returning champion Sean Kendrick competes against Puck Connolly, the first girl ever to ride in the annual Scorpio Races, both trying to keep hold of their dangerous water horses long enough to make it to the finish line.",,840
The dragon's tooth,"Wilson, Nathan D.",9780375864391,F Wil,FIC,Secret societies -- Fiction. | Siblings -- Fiction. | Apprentices -- Fiction. | Magic -- Fiction.,"When their parents' seedy old motel burns down on the same night they are visited by a strange man covered in skeleton tattoos, Cyrus, Antigone, and their brother Daniel are introduced to an ancient secret society, and discover that they have an important role in keeping it alive.",Ashtown burials,4.7
The outcasts,"Flanagan, John (John Anthony)",9780399256196,F,FIC,Fantasy fiction | Friendship -- Fiction. | Heroes and heroines -- Fiction. | Racing -- Fiction. | Outcasts -- Fiction.,": Hal, Stig, and the other outcasts do not have the size and strength of the Skandians, but when they face off against the Wolves and the Sharks in an ultimate race for survival, they hope that their courage and cunning are enough to help them win in a game that everyone seems to think is a matter of life and death.",The Brotherband chronicles,780
Icefall,"Kirby, Matthew J. 1976-",0545274249,F Kir,FIC,Winter -- Fiction. | Ice -- Fiction | Self-confidence -- Fiction. | Storytelling -- Fiction. | Fantasy fiction,"Princess Solveig and her siblings are trapped in a hidden fortress tucked between towering mountains and a frozen fjord, along with her best friend and an army of restless soldiers, all awaiting news of the king's victory in battle, but as they wait for winter's end and the all-encompassing ice to break, acts of treachery make it clear that a traitor lurks in their midst.",,4.7
The mighty Miss Malone,"Curtis, Christopher Paul",9780385734912,F Cur,FIC,"Family life -- Fiction. | Great Depression, 1929-1939 -- Fiction. | Poverty -- Fiction. | African Americans -- Fiction.","With love and determination befitting the ""world's greatest family,"" twelve-year-old Deza Malone, her older brother Jimmie, and their parents endure tough times in Gary, Indiana, and later Flint, Michigan, during the Great Depression.",,4.4
Jefferson's sons  a founding father's secret children,"Bradley, Kimberly Brubaker",9780803734999,F Bra,FIC,Slavery -- Fiction. | African Americans -- Fiction.,"A fictionalized look at the last twenty years of Thomas Jefferson's life at Monticello through the eyes of three of his slaves, two of whom were his sons by his slave, Sally Hemings.",,4.1
Where things come back,"Whaley, John Corey",9781442413337,F Wha,FIC,Missing children -- Fiction. | Interpersonal relations -- Fiction. | Friendship -- Fiction. | Extinct animals -- Fiction. | Family life -- Fiction. -- Arkansas,"Seventeen-year-old Cullen's summer in Lily, Arkansas, is marked by his cousin's death by overdose, an alleged spotting of a woodpecker thought to be extinct, failed romances, and his younger brother's sudden disappearance.",,Young Adult
The black,"MacHale, D. J.",1416965173,F Mac,FIC,Occult fiction | Death -- Fiction. | Horror fiction,"Cooper Foley, who has a knack for getting into trouble, ends up in the middle of a border war between the worlds of the living and the dead, trying to find out about the mysterious Morpheus Road.",Morpheus Road,4.8.
Wonder,"Palacio, R. J.",9780375869020,F Pal,FIC,Birth defects -- Fiction. | Self-acceptance -- Fiction. | Middle schools -- Fiction. | School stories,"Ten-year-old Auggie Pullman, who was born with extreme facial abnormalities and was not expected to survive, goes from being home-schooled to entering fifth grade at a private middle school in Manhattan, which entails enduring the taunts and fear of his classmates as he struggles to be seen as just another student.",,790
Beneath a meth moon  an elegy,"Woodson, Jacqueline",0399252509,F Woo,FIC,Grief -- Fiction. | Drug abuse -- Fiction. | Methamphetamine -- Fiction. | Bereavement -- Fiction.,"Laurel Daneau, having lost her mother, grandmother, and home in Hurricane Katrina, thinks things are going well with her new life as a cheerleader and the girlfriend of basketball start T-Boom, but after T-Boom introduces her to meth and she finds the drug helps her deal with her past, she must rely on the help of an artist named Moses and her friend Kaylee to overcome the addiction.",,730
Bluefish,"Schmatz, Pat",0763663417,F Sch,FIC,Literacy -- Fiction. | Secrecy -- Fiction. | Teachers -- Fiction. | Middle schools -- Fiction. | School stories,"Thirteen-year-old Travis, living in cramped quarters with his alcoholic grandfather, longs for his old life in the country, and struggles in school to hide the fact that he cannot read, but a persistent teacher and a special girl open his eyes to a new world.",,Young Adult
Cold cereal,"Rex, Adam",0062060023,F Rex,FIC,Prepared cereals -- Fiction. | Magic -- Fiction. | Adventure fiction | Twins -- Fiction | Siblings -- Fiction.,"A boy who may be part changeling, twins involved in a bizarre secret experiment, and a clurichaun in a red tracksuit try to save the world from an evil cereal company whose ultimate goal is world domination.",,5.0
The fault in our stars,"Green, John 1977-",0525478817,F,FIC,Cancer -- Fiction. -- Patients | Interpersonal relations -- Fiction.,"Sixteen year old Hazel, who has cancer, meets Augustus at a kids-with-cancer support group and as they fall in love they both wonder how they will be remembered.",,Young Adult
How to save a life,"Zarr, Sara",0316036064,F Zar,FIC,Interpersonal relations -- Fiction. | Adoption -- Fiction. | Mother-daughter relationship -- Fiction. | Pregnancy -- Fiction. | Grief -- Fiction. | Family life -- Fiction. -- Colorado,"Told from their own viewpoints, seventeen-year-old Jill, in grief over the loss of her father, and Mandy, nearly nineteen, are thrown together when Jill's mother agrees to adopt Mandy's unborn child but nothing turns out as they had anticipated.",,Young Adult
Maximilian & the mystery of the Guardian Angel  a bilingual lucha libre thriller,"Garza, Xavier",1933693983,F Gar SPANISH,FIC,Wrestling -- Fiction. | Heroes and heroines -- Fiction. | Bilingual books -- English-Spanish. | Uncles -- Fiction. | Mexican Americans -- Fiction. | Family life -- Fiction. -- Texas,"Eleven-year-old Maximilian, a big fan of lucha libre, makes an unexpected connection with his idol, the Guardian Angel, when he takes a tumble over the railing at a match in San Antonio.",,4.5.
Misfit,"Skovron, Jon",1419700219,F Sko,FIC,Occult fiction | Demonology -- Fiction. | Church schools -- Fiction. | High schools -- Fiction | School stories | Single-parent families -- Fiction,"Seattle sixteen-year-old Jael must negotiate normal life in Catholic school while learning to control the abilities she inherited from her mother, a demon, and protect those she loves from Belial, the Duke of Hell.",,Young Adult
The one and only Ivan,"Applegate, Katherine",0061992259,F App,FIC,Gorillas -- Fiction. | Elephants -- Fiction | Animal welfare -- Fiction.,"When Ivan, a gorilla who has lived for years in a down-and-out circus-themed mall, meets Ruby, a baby elephant that has been added to the mall, he decides that he must find her a better life.",,3.6
The underdogs,"Lupica, Mike",0399250018,F Lup,FIC,Football -- Fiction | Community life -- Fiction. -- Pennsylvania,"Small but fast twelve-year-old Will Tyler, an avid football player in the down-and-out town of Forbes, Pennsylvania, takes matters into his own hands to try and finance the city's football team, giving the whole community hope in the process.",,5.2.
Variant,"Wells, Robison E.",0062026089,F Wel,FIC,Private schools -- Fiction. | School stories | Interpersonal relations -- Fiction. | Science fiction,"After years in foster homes, seventeen-year-old Benson Fisher applies to New Mexico's Maxfield Academy in hopes of securing a brighter future, but instead he finds that the school is a prison and no one is what he or she seems.",,Young Adult
Witchlanders,"Coakley, Lena 1967-",1442420049,F Coa,FIC,Witches -- Fiction. | War stories | Fantasy fiction,"After the prediction of Ryder's mother, once a great prophet and powerful witch, comes true and their village is destroyed by a deadly assassin, Ryder embarks on a quest that takes him into the mountains in search of the destroyer.",,Young Adult
Breaking Stalin's nose,"Yelchin, Eugene",9780805092165,F Yel,FIC,Communism -- Fiction. | Father-son relationship -- Fiction.,"In the Stalinist era of the Soviet Union, ten-year-old Sasha idolizes his father, a devoted Communist, but when police take his father away and leave Sasha homeless, he is forced to examine his own perceptions, values, and beliefs.",,5.7
The blood,"MacHale, D. J.",9781416965183,F Mac,FIC,Horror fiction | Occult fiction | Death -- Fiction.,"""A final showdown is in order between best friends Marshall and Cooper and the terrifying villain Damon, who's more determined than ever to break down the walls between the worlds of the living and the dead. Marshall is forced to make a brave and shocking choice when the battle is on the line, and he and Cooper might be rewarded with help from someone quite unexpected.""",Morpheus Road,4.4
Partials,"Wells, Dan 1977-",0062071041,F Wel,FIC,Medical novels -- Fiction. | Diseases -- Fiction | Medicine -- Fiction. -- Research | Survival skills -- Fiction. | Robots -- Fiction. | Science fiction,"A war with Partials--engineered organic beings identical to humans--has devastated the human population due to a weaponized virus to which only a fraction of humanity is immune, and Kira, a sixteen-year-old medic-in-training, discovers that a connection between humans and Partials may be the key to saving both races.",,HL 810
Michael Vey  the prisoner of cell 25,"Evans, Richard Paul",1451656505,F Eva,FIC,Teenagers -- Fiction. | Friendship -- Fiction. | Electricity -- Fiction. | Prisoners -- Fiction. | Adventure fiction | Science fiction,"Fourteen-year-old Michael discovers he has special electrical powers and, with the help of his best friends, becomes aware that there are other teens with similar powers, but something or someone is hunting them and, after Michael's mother is kidnapped, he will need to rely on his powers and his friends to rescue his mom, protect himself, and save the others.",,Young Adult
Chitty Chitty Bang Bang flies again,"Cottrell Boyce, Frank",0763659576,F Cot,FIC,Automobiles -- Fiction. | Family life -- Fiction. -- Europe | Adventure fiction | Humorous fiction,"The Tooting family fits an old engine they find into their camper van, unaware that the engine once belonged to an extraordinary car and sends the family on an adventure across the world to rebuild the original Chitty.",,4.4.
Miss Peregrine's Home for Peculiar Children,"Riggs, Ransom.",9781594744761,F Rig,FIC,Orphanages -- Fiction. | Mystery fiction. | Islands -- Fiction.,"Sixteen-year-old Jacob, having traveled to a remote island after a family tragedy, discovers an abandoned orphanage, and, after some investigating, he learns the children who lived there may have been dangerous and quarantined and may also still be alive.",,890
"Out of sight, out of time","Carter, Ally",1423147944,F Car,FIC,Private schools -- Fiction. | School stories | Spy stories,Cammie Morgan wakes up in an alpine convent and realizes that she has no memory of the several months that have passed since she left Gallagher Academy to protect her friends and family from an ancient organization known as the Circle of Cavan.,Gallagher Girls series,5.4.
The extraordinary education of Nicholas Benedict,"Stewart, Trenton Lee",9780316176194,F Ste,FIC,Adventure fiction | Orphanages -- Fiction. | Orphans -- Fiction. | Bullies -- Fiction. | Genius -- Fiction. | Mystery fiction,"Nine-year-old Nicholas Benedict, an orphan afflicted with an unfortunate nose and with narcolepsy, is sent to a new orphanage where he encounters vicious bullies, selfish adults, strange circumstances, and a mystery that could change his life forever.",,6.1
Chomp,"Hiaasen, Carl",9780375868429,F Hia,FIC,Reality television programs -- Fiction. | Television -- Fiction. -- Production and direction | Missing children -- Fiction. | Wildlife refuges -- Fiction.,"The difficult star of the reality television show, ""Expedition Survival,"" disappears on location in the Florida Everglades, where they were filming animals from the wildlife refuge run by Wahoo Crane's family, and Wahoo and classmate Tuna Gordon set out to find him, but they must avoid Tuna's gun-happy father.",,5.2
The Crowfield demon,"Walsh, Pat 1954-",054531769X,F Wal,FIC,Orphans -- Fiction. | Demonology -- Fiction. | Magic -- Fiction. | Individuality -- Fiction | Monasteries -- Fiction. | Blessing and cursing -- Fiction,"In March of 1348, the awakening of an ancient evil drives fay creatures from the woods, causes Crowfield Abbey to crumble, and haunts the dreams of the monks, but the demon seems especially drawn to Will, who is beginning to realize the significance of his Sight.",,6.0.
The Final Four,"Volponi, Paul",0670012645,F Vol,FIC,Basketball -- Fiction | Conduct of life -- Fiction | African Americans -- Fiction.,Four players at the Final Four of the NCAA basketball tournament struggle with the pressures of tournament play and the expectations of society at large.,,Young Adult
Under the never sky,"Rossi, Veronica",006207203X,F Ros,FIC,"Teenagers -- Fiction. | Survival after airplane accidents, shipwrecks, etc. -- Fiction. | Dystopian fiction | Adventure fiction | Love stories | Fantasy fiction","When Aria, a sheltered and fragile Dweller, is exiled from her home in Reverie, she must face The Death Shop, a land filled with cannibals and dangerous energy storms, and her only hope for staying alive depends on Outsider Perry, a savage hunter.",,Young Adult
The whisper,"Clayton, Emma",054531772X,F Cla,FIC,Twins -- Fiction | Telepathy -- Fiction. | Personal appearance -- Fiction. | Philosophy -- Fiction. | Science fiction,"Twins Ellie and Mika use their psychic powers to read the mind of Gorman, who has rejuvenated his body with potent Everlife pills and plans to carry out his diabolical schemes with his new teenage body, and plot to force him out into the wilderness he fears.",,4.7.
Wild things,"Carmichael, Clay",1590786270,F Car,FIC,Family life -- Fiction. | Self-reliance -- Fiction. | Trust -- Fiction | Orphans -- Fiction. | Uncles -- Fiction. | Sculptors -- Fiction. | Cats -- Fiction | Animals -- Fiction,"Stubborn, self-reliant, eleven-year-old Zoe, recently orphaned, moves to the country to live with her prickly half-uncle, a famous doctor and sculptor, and together they learn about trust and the strength of family.",,5.3
Cinder,"Meyer, Marissa.",1250007208 (pbk),F Mey,FIC,Stepfamilies -- Fiction. | Social classes -- Fiction. | Science fiction. | Extraterrestrial beings -- Fiction. | Cyborgs -- Fiction.,"Cinder, a gifted mechanic and a cyborg with a mysterious past, is blamed by her stepmother for her stepsister's illness while a deadly plague decimates the population of New Beijing, but when Cinder's life gets intertwined with Prince Kai's, she finds herself at the center of an intergalactic struggle.",Lunar chronicles,790
The ausländer,"Dowswell, Paul",1599906333,F Dow,FIC,"Adoption -- Fiction. | World War, 1939-1945 -- Fiction | Orphans -- Fiction. | National socialism -- Fiction. | Insurgency -- Fiction. | Polish people -- Fiction. | Historical fiction","Peter, an orphan in Warsaw, is adopted by German professor Kaltenbach and his wife who believe the boy to be a fine specimen of Hitler Youth, but Peter begins to develop his own ideas in opposition to the Nazis, which is not a popular position in Berlin in 1943.",,Young Adult
Beyond repair,"Peterson, Lois Cook 1952-",1554698170,F Pet,FIC,Fathers -- Fiction. -- Death | Teenagers -- Fiction. | Boys -- Fiction. | Family life -- Fiction. | Criminals -- Fiction,"Cam has been taking care of his family since his father's death, but when the man who killed his father seems to be stalking the family, Cam fears he is unable to handle the task and is unsure where to turn for help.",Orca currents,3.3.
The big dip,"Jackson, Melanie 1956-",1554691796,F Jac,FIC,Buried treasure -- Fiction. | Kidnapping -- Fiction. | Mystery fiction,"Joe Lumby is determined to find the mysterious treasure, ""Margaret Rose,"" after his kid sister is kidnapped.",Orca currents,3.6.
The drop,"Ross, Jeff 1973-",1554693926,F Ros,FIC,Snowboarding -- Fiction.,"When Alex and three other snowboarders find themselves in trouble in the remote mountains of British Columbia, Alex must confront his fears and lead them to safety.",Orca sports,3.2.
The false prince,"Nielsen, Jennifer A.",0545284147,F Nie,FIC,Acting -- Fiction. | Princes -- Fiction. | Orphans -- Fiction. | Courts and courtiers -- Fiction. | Secrecy -- Fiction.,"In the country of Carthya, a devious nobleman engages four orphans in a brutal competition to be selected to impersonate the king's long-missing son in an effort to avoid a civil war.",Ascendance trilogy,5.2
I pledge allegiance,"Lynch, Chris 1962-",0545270294,F Lyn,FIC,"Vietnam War, 1961-1975 -- Fiction. | Friendship -- Fiction. | War stories","Best friends Morris, Rudi, Ivan, and Beck, having been either drafted or enlisted in the military during the Vietnam War, pledge they will come home together, and Morris, a sailor on the USS ""Boston,"" relies on that promise to stay strong while his courage and resolve are tested under attack.",Vietnam,5.9.
Living rough,"Watson, Cristy 1964-",155469888X,F Wat,FIC,Homeless persons -- Fiction. | Secrecy -- Fiction.,"Poe, a homeless young teen, struggles to keep his living situation a secret.",Orca currents,3.0.
Nine doors,"Grant, Vicki",1554690749,F Gra,FIC,Practical jokes -- Fiction.,"Emery reluctantly agrees to Richard's suggestion that they play pranks on their neighbors and videotape their reactions, and he has a difficult time trying to back out of the game when things start getting serious.",Orca currents,3.0.
One dog and his boy,"Ibbotson, Eva",0545351960,F Ibb,FIC,Dogs -- Fiction | Animals -- Fiction | Voyages and travels -- Fiction. | Wealth -- Fiction. | Family life -- Fiction. -- London (England),"When lonely, ten-year-old Hal learns that his wealthy but neglectful parents only rented Fleck, the dog he always wanted, he and new friend Pippa take Fleck and four other dogs from the rental agency on a trek from London to Scotland, where Hal's grandparents live.",,5.4.
Paintings from the cave  three novellas,"Paulsen, Gary",0385909217,F Pau,FIC,Violence -- Fiction. | Homeless persons -- Fiction. | Art -- Fiction. | Dogs -- Fiction,A collection of three novellas by Gary Paulsen that explores the diverse meanings of family.,,4.5
Plunked,"Northrop, Michael",0545297141,F Nor,FIC,Baseball -- Fiction | School stories | Fear -- Fiction. | Perseverance -- Fiction.,"Sixth-grader Jack Mogens loses his nerve after getting hit by a pitch, and has to dig deep within himself to avoid giving up the sport he loves.",,4.5.
Same sun here,"House, Silas 1971-",0763656844,F Hou,FIC,Letter writing -- Fiction. | East Indian Americans -- Fiction | Letters -- Fiction. | Friendship -- Fiction.,"A twelve-year-old Indian immigrant in New York City and a Kentucky coal miner's son become pen pals, and eventually best friends, through a series of revealing letters exploring such topics as environmental activism, immigration, and racism.",,5.1
The shade,"Denman, K. L. 1957-",1551439336,F Den,FIC,Sisters -- Fiction. | Weddings -- Fiction. | Camps -- Fiction. | Ghost stories,"Safira, spending time at swim camp in the weeks before her sister Mya's wedding, sees a ghostly apparition; and together with her friend, Trinity, tries to figure out who it is and where it came from.",Orca currents,2.9.
The visitors,"McKissack, Pat 1944-",0439929873,F McK,FIC,Cloning -- Fiction. | Identity (Psychology) -- Fiction. | Cybernetics -- Fiction. | Science fiction,"The World Federation of Nations issues a bounty for the capture of fugitives Houston Ye, a cyborg, and Leanna Deberry, a clone; meanwhile, the world's largest cloning company is operating a evil system where only authorized officials and clones are allowed inside.",Clone codes,4.8.
A confusion of princes,"Nix, Garth",0060096950,F Nix,FIC,Princes -- Fiction. | Inheritance and succession -- Fiction | Adventure fiction | Science fiction,"Battling aliens, space pirates, and competitors, Prince Khemri meets a young woman, named Raine, and learns more than he expected about the hidden workings of a vast, intergalactic Empire, and about himself.",,Young Adult
Crater  a Helium-3 novel,"Hickam, Homer H. 1943-",1595546642,F Hic,FIC,Teenagers -- Fiction. | Interplanetary voyages -- Fiction. | Science fiction,"Crater, a teenaged Helium-3 miner living in the twenty-second century, aspires to become a foreman, but leaves home and embarks on a dangerous journey into deep space in search of treasure.",,Young Adult
The wicked and the just,"Coats, Jillian Anderson",0547688377,F Coa,FIC,Middle Ages -- Fiction. | Prejudices -- Fiction. | Household employees -- Fiction. | Historical fiction,"In medieval Wales, follows Cecily whose family is lured by cheap land and the duty of all Englishman to help keep down the ""vicious"" Welshmen, and Gwenhwyfar, a Welsh girl who must wait hand and foot on her new English mistress.",,Young Adult
Three times lucky,"Turnage, Sheila",0803736703,F Tur,FIC,Restaurants -- Fiction. | Community life -- Fiction. -- North Carolina | Individuality -- Fiction | Homicide -- Fiction. | Orphans -- Fiction. | Mystery fiction,"Washed ashore as a baby in tiny Tupelo Landing, North Carolina, Mo LoBeau, now eleven, and her best friend Dale turn detective when the amnesiac Colonel, owner of a café and co-parent of Mo with his cook, Miss Lana, seems implicated in a murder.",,3.9
The invaders,"Flanagan, John (John Anthony)",9780399256202,F Fla,FIC,Seafaring life -- Fiction. | Adventure fiction | Pirates -- Fiction. | Friendship -- Fiction. | Courage -- Fiction | Fantasy fiction,"Hal and the Herons, having won the Brotherband competition, are accused of stealing the Skandians' most sacred artifact and face challenges on their journey to reclaim it and clear their names.",The Brotherband chronicles,5.7
The dragon in the sea,"Klimo, Kate",9780375870651,F Kli,FIC,Dragons -- Fiction. | Eggs -- Fiction. | Mermaids and mermen -- Fiction. | Magic -- Fiction. | Cousins -- Fiction.,"Jesse and Daisy and their dragon friend, Emmy, try to recover a Thunder Egg from merpeople who stole it from Daisy near the Inn of the Barking Seal, where the cousins are visiting their grandmother Polly.",Dragon keepers,4.8
"Crush  the theory, practice, and destructive properties of love","Paulsen, Gary",9780385742306,F Pau,FIC,Dating (Social customs) -- Fiction. | Love stories | Interpersonal relations -- Fiction. | Humorous fiction,"Afraid to actually ask Tina Zabinski for a date, eighth-grader Kevin spends most of his time theorizing about love and romance and observing and analyzing male/female interaction.",,780
City of lost souls,"Clare, Cassandra",9781442416888,F Cla,FIC,Horror fiction | Vampires -- Fiction. | Magic -- Fiction. | Demonology -- Fiction. | Occult fiction,"When Jace vanishes with Sebastian, Clary and the Shadowhunters struggle to piece together their shattered world and Clary infiltrates the group planning the world's destruction.",The mortal instruments,HL 740
The kill order,"Dashner, James 1972-",9780307979117,F,FIC,Science fiction | Natural disasters -- Fiction. | Virus diseases -- Fiction | Survival skills -- Fiction.,Mark and Trina struggle to survive as modern civilization is destoryed by sun flares and mutating diseases.,,HL 810
"Middle school, get me out of here!","Patterson, James 1947-",9780316227391,F Pat,FIC,Conduct of life -- Fiction | Middle schools -- Fiction. | School stories | Human behavior -- Fiction. | Art students -- Fiction. | Family life -- Fiction.,"After surviving sixth grade, Rafe expects seventh grade to be a fun zone because he has been accepted to art school in the big city, but when he discovers it is more competitive than he expected, he sets out to turn his boring life into the inspiration for a work of art.",,3.4
Liar & spy,"Stead, Rebecca.",9780385906654,F,FIC,Spy stories. | School stories. | Middle schools -- Fiction. | Family life -- Fiction. -- New York (N.Y.) | Apartment houses -- Fiction.,"Seventh-grader Georges adjusts to moving from a house to an apartment, his father's efforts to start a new business, his mother's extra shifts as a nurse, being picked on at school, and Safer, a boy who wants his help spying on another resident of their building.",,V
"Theodore Boone, the accused","Grisham, John",9780525425762,F Gri,FIC,Legal stories | Courts -- Fiction. | Theft -- Fiction.,Thirteen-year-old Theodore Boone faces his biggest challenge when a new case opens up in Strattenburg and Theo is the prime suspect when the police discover some stolen computer equipment in his locker.,Theodore Boone series,5.5
A mutiny in time,"Dashner, James 1972-",9780545386968,F Das,FIC,Time travel -- Fiction. | World history -- Fiction. | Conspiracies -- Fiction. | Friendship -- Fiction. | Science fiction,"Time has gone wrong, and best friends Dak Smyth and Sera Froste, together with the young Hystorian Riq, must use the infinity ring to travel back to one of the Great Breaks--a mutiny on the Santa María--to correct history and defeat the SQ.",Infinity ring,5.7
Soldier dog,"Angus, Sam",9781447220053 (pbk.),F Ang,FIC,"Animals -- Fiction | World War, 1914-1918 -- Fiction -- Campaigns | Dogs -- Fiction. -- War use | Father-son relationship -- Fiction. | World War, 1914-1918 -- Fiction. | Historical fiction","After his dad disappears, thirteen-year-old Stanley joins the army during World War I and is assigned to the War Dog School, where he is partnered with a messenger dog named Bones and the two of them are sent to France.",,870
The spindlers,"Oliver, Lauren 1982-",9780061978081,F Oli,FIC,Fantasy fiction | Siblings -- Fiction. | Soul -- Fiction.,"Accompanied by an eccentric, human-sized rat, Liza embarks on a perilous quest through an underground realm to save her brother Patrick, whose soul has been stolen by the evilest of creatures--the spider-like spindlers.",,840
Summer of the gypsy moths,"Pennypacker, Sara 1951-",0061964204,F Pen,FIC,Secrecy -- Fiction. | Loss (Psychology) -- Fiction. | Aunts -- Fiction. | Death -- Fiction.,"A foster child named Angel and twelve-year-old Stella, who are living with Stella's great-aunt Louise at the Linger Longer Cottage Colony on Cape Cod, secretly assume responsibility for the vacation rentals when Louise unexpectedly dies and the girls are afraid of being returned to the foster care system.",,4.8
Seraphina  a novel,"Hartman, Rachel 1972-",9780375866562,F Har,FIC,Identity (Psychology) -- Fiction. | Self-realization -- Fiction. | Dragons -- Fiction. | Secrecy -- Fiction. | Music -- Fiction. | Courts and courtiers -- Fiction. | Fantasy fiction,"In a world where dragons and humans coexist in an uneasy truce and dragons can assume human form, Seraphina, whose mother died giving birth to her, grapples with her own identity amid magical secrets and royal scandals, while she struggles to accept and develop her extraordinary musical talents.",,760
Princess Academy  palace of stone,"Hale, Shannon",9781599908731,F Hal,FIC,Self-confidence -- Fiction. | Kings and rulers -- Fiction. | Gender role -- Fiction. | Telepathy -- Fiction. | Mountains -- Fiction. | School stories,"Miri returns to Asland and calls upon all of her knowledge of rhetoric and other useful lessons learned at the Princess Academy when she and the other girls face strong opposition while working for a new, fair charter.",,6.0
The mark of Athena,"Riordan, Rick",9781423140603,F Rio,FIC,"Jackson, Percy (Fictitious character) -- Fiction | Roman mythology -- Fiction. | Greek mythology -- Fiction. | Giants -- Fiction. | Camps -- Fiction. | Hera (Greek deity) -- Fiction. | Gods and goddesses -- Fiction.","""The Greek and Roman demigods will have to cooperate in order to defeat the giants released by the Earth Mother, Gaea. Then they will have to sail together to the ancient land--Greece itself--to find the Doors of Death.""",,4.9
The drowned cities,"Bacigalupi, Paolo",0316056243,F Bac,FIC,"Soldiers -- Fiction. | Survival after airplane accidents, shipwrecks, etc. -- Fiction. | Orphans -- Fiction. | Conduct of life -- Fiction | Genetic engineering -- Fiction. | War stories | Science fiction","In a dark future America that has devolved into unending civil wars, orphans Mahlia and Mouse barely escape the war-torn lands of the Drowned Cities, but their fragile safety is soon threatened and Mahlia will have to risk everything if she is to save Mouse, as he once saved her.",,Young Adult
Sammy Keyes and the power of Justice Jack,"Van Draanen, Wendelin",0375870520,F Van,FIC,Mystery fiction | Theft -- Fiction. | Missing children -- Fiction. | Superheroes -- Fiction,"When Justice Jack, a self-appointed superhero, begins trying to track down the missing Mrs. Wedgewod and some stolen cash, the older folks in Santa Martina are delighted but Sammy knows it will be up to her to really solve the mystery.",,740
Sophia's war  a tale of the Revolution,Avi 1937-,9781442414419,F Avi,FIC,Spy stories,"In 1776, after witnessing the execution of Nathan Hale in New York City, newly occupied by the British army, young Sophia Calderwood resolves to do all she can to help the American cause, including becoming a spy.",,5.7
Ashfall,"Mullin, Mike",1933718749,F Mul,FIC,Science fiction | Survival skills -- Fiction. | Volcanoes -- Fiction.,"After the eruption of the Yellowstone supervolcano destroys his city and its surroundings, fifteen-year-old Alex must journey from Cedar Falls, Iowa, to Illinois to find his parents and sister, trying to survive in a transformed landscape and a new society in which all the old rules of living have vanished.",,750
Deadly pink,"Vande Velde, Vivian",0547738501,F Van,FIC,Fantasy games -- Fiction. | Role playing -- Fiction. | Virtual reality -- Fiction. | Computer games -- Fiction. | Sisters -- Fiction. | Science fiction,Fourteen-year-old Grace must find a way to get her older sister out of a princess-filled virtual reality RPG (role playing game)--before it is too late.,,6.7.
The difference between you and me,"George, Madeleine",0670011282,F,FIC,Lesbians -- Fiction. | Protest movements -- Fiction. | High schools -- Fiction | School stories,"School outsider Jesse, a lesbian, is having secret trysts with Emily, the popular student council vice president, but when they find themselves on opposite sides of a major issue and Jesse becomes more involved with a student activist, they are forced to make a difficult decision.",,Young Adult
Enchanted,"Kontis, Alethea",0547645708,F Kon,FIC,Princes -- Fiction. | Magic -- Fiction. | Fairy tales | Fantasy fiction,"When Sunday Woodcutter, the youngest sibling to sisters named for the other six days of the week, kisses an enchanted frog, he transforms back into Rumbold, the crown prince of Arilland--a man Sunday's family despises.",,Young Adult
For darkness shows the stars,"Peterfreund, Diana",0062006142,F Pet,FIC,Social classes -- Fiction. | Family -- Fiction. | Love stories | Science fiction,"""Elliot North fights to save her family's land and her own heart in this post-apocalyptic reimaging of Jane Austen's Persuasion""--Provided by publisher.",,Young Adult
Jake and Lily,"Spinelli, Jerry",9780060281359,F Spi,FIC,Twins -- Fiction | Siblings -- Fiction. | Individuality -- Fiction | Bullies -- Fiction. | Friendship -- Fiction.,"Twins Jake and Lily have a very close relationship, but when they turn eleven, their parents give them separate bedrooms and Jake begins to spend time with a group of neighborhood boys. Lily is devastated as she struggles to make friends, and Jake is faced with a bully.",,3.9.
"Keeping the castle  a tale of romance, riches, and real estate","Kindl, Patrice",0670014389,F Kin,FIC,Social classes -- Fiction. | Courtship -- Fiction. | Castles -- Fiction. | Historical fiction,"In order to support her family and maintain their ancient castle in Lesser Hoo, seventeen-year-old Althea bears the burden of finding a wealthy suitor who can remedy their financial problems.",,Young Adult
My sister lives on the mantelpiece,"Pitcher, Annabel",0316176907,F Pit,FIC,Grief -- Fiction. | Family life -- Fiction.,"With his family still grieving over his sister's death in a terrorist bombing seven years earlier, ten-year-old Jamie is far more interested in his cat, Roger, his birthday Spider-Man T-shirt, and keeping his new Muslim friend, Sunya, a secret from his father.",,Young Adult
